Name,detail
รถยนต์คันใหญ่ของคุณหมี,เช้าวันธรรมดา<_>ๆ<_>วันหนึ่งเป็นวันที่มีความสุขของคุณหมี<_>เพราะคุณหมีมีรถยนต์คันโตจะขับไปชวนเพื่อน<_>ๆ<_>นั่งรถเล่นด้วยกัน<_>แล้วคุณหมีก็ไปเจอเพื่อนตัวหนึ่งอยู่หลังต้นไม้<_>จึงชวนไปนั่งรถเที่ยวด้วยกัน<_>แล้วคุณหมีก็ขับรถไปพร้อมกับมีคุณช้างนั่งเป็นเพื่อน<_>แต่ก็ยังอยากชวนเพื่อนไปนั่งรถด้วยกันอีกจึงไปชวนคุณฮิปโปซึ่งกำลังนอนเล่นอยู่ในน้ำไปด้วยกัน<_>แต่คุรหมีก็ยังอยากชวนเพื่อนไปเพิ่มอีก<_>จะชวนใครไปเพิ่มได้อีกไหมนะ
ช่วยด้วยมีโจรมา,ณ<_>หมู่บ้านเล็ก<_>ๆ<_>ชายป่า<_>คนในหมู่บ้านมีอาชีพทำการเกษตรและเลี้ยงสัตว์<_>ซึ่งส่วนใหญ่มีฐานะยากจน<_>จึงทำให้เด็ก<_>ๆ<_>ในหมู่บ้านหลายคนไม่ได้เรียนหนังสือ<_>ซึ่งหนึ่งในนั้นคือปีเตอร์<_>ปีเตอร์ไม่ได้เรียนหนังสือเพราะเค้าต้องช่วยพ่อแม่เลี้ยงกระทิง<_>ทุก<_>ๆ<_>เช้าปีเตอร์จะต้อนกระทิงออกไปหากินหญ้าที่ทุ่งหญ้าไกลออกไปจากหมู่บ้านไม่มากนัก<_>ปีเตอร์จะปีนขึ้นไปนอนบนต้นไม้ใกล้<_>ๆ<_>ฝูงกระทิงเพื่อดูความปลอดภัยของกระทิง<_>วันนี้ปีเตอร์รู้สึกเบื่อที่ต้องนั่ง<_>ๆ<_>นอน<_>ๆ<_>เฝ้าดูฝูงกระทิงโดยไม่มีโอกาสไปวิ่งเล่นกับเพื่อน<_>ๆ<_>เหมือนเด็กคนอื่น<_>ๆ<_>ปีเตอร์จะหากิจกรรมอะไรทำให้หายเบื่อติดตามได้ในรายการ<ชื่อรายการ>
ตัวนุ่มอย่าวิ่งออกไปนอกถนน,ตัวนุ่มได้ลูกบอลมาใหม่<_>และอยากเล่นมาก<_>เพราะกำลังเห่อ<_>ขณะเดินกลับบ้านสามสีกับตัวนุ่มโยนบอลกันไปมา<_>แล้วลูกบอลหลุดออกไปนอกถนน<_>ตัวนุ่มจึงวิ่งตามไป<_>เรื่องราวจะเป็นอย่างไร<_>ติดตามใน<_><ชื่อรายการ>
เพื่อนรักนักกีฬา,วันนี้อากาศแจ่มใส<_>ซึ่งเป็นวันแข่งกีฬาสีของเด็กๆ<_>เสียงเชียร์โห่ร้องภายในสนามกีฬาดังสลับกับเสียงของทีมเชียร์ลีดเดอร์ที่ส่งมาจากโรงเรียนข้างเคียง<_>ปีนี้ใครกันนะจะได้ครองเหรียญทองมากที่สุด<_>โรงเรียนลิงน้อย<_>โรงเรียนเสือน้อย<_>และโรงเรียนช้างน้อย<_>ปรี๊ด<_>ด<_>เสียงนกหวีดเป่าเริ่มขึ้นแล้ว<_>ลิงน้อยสตาร์ทออกมานำโด่ง<_>เพราะฟิตซ้อมมาอย่างดี<_>ช้างน้อยตามมาเป็นที่สองซึ่งช้างน้อยไม่เคยแพ้ใคร<_>ส่วนเสือน้อยผู้วิ่งรั้งท้ายนั้น<_>ก็ยังคงวิ่งไล่ตามลิงน้อย<_>และช้างน้อยอย่างไม่ลดละ<_>ทั้งสามยังคงวิ่ง<_>วิ่ง<_>วิ่ง<_>เพื่อไปให้ถึงเส้นชัยที่อยู่ตรงหน้า<_>แต่ใครกันนะที่จะทำได้สำเร็จ<_>ติดตามได้ในรายการ<ชื่อรายการ>
กวางน้อยกับเสือดาว,ณ<_>หมู่บ้านแสนสุข<_>กวางน้อยหิ้วตะกร้าใบใหญ่เดินเข้าไปในป่าเพื่อไปหาเพื่อน<_>ๆ<_>แต่ระหว่างทาง<_>มีเสือดาวตัวหนึ่งบังเอิญมาพบกวางน้อยน้อยเข้า<_>เสือดาวจอมเกเรจึงตรงเข้าไปหาเรื่องกวางน้อย<_>พร้อมกับแย่งตะกร้าอาหารมาจากกวางน้อยและสำรวจของในตะกร้า<_>กวางน้อยพยามขอคืนแต่เสือดาวก็ไม่ยอมคืนกลับบอกว่าถ้ามันอยากได้ต้องทำตามคำสั่งของมัน<_>เสือดาวจึงบอกให้กวางน้อยไปเก็บดอกไม้บนยอดเขามาให้มันหนึ่งพันดอกให้กวางน้อยน้อยได้ฟัง<_>มันก็ทำตาแดง<_>ๆ<_>เหมือนจะร้องไห้<_>เพราะใคร<_>ๆ<_>ก็คงรู้ดีอยู่แล้วว่า<_>เงื่อนไขของเจ้าเสือดาวเป็นเรื่องที่ไม่มีใครทำได้<_>กวางน้อยจะทำได้สำเร็จหรือไม่ติดตามได้ในรายการ<ชื่อรายการ>
แย่แล้ว<_>แมวน้ำ,ในท้องทะเลลึกแห่งหนึ่ง<_>มีหมึกยักษ์อยู่ตัวหนึ่งชอบจับสัตว์ทะเลมาเป็นอาหาร<_>เหลือจากกินเป็นอาหารก็ยังเอาไปขายให้กับพ่อค้าบนฝั่งอีกด้วย<_>ดังนั้นสัตว์ทะเลทั้งหลายจึงระมัดระวังตัวเป็นอย่างดี<_>ไม่มาว่ายน้ำเล่นในเขตอันตรายที่หมึกยักษ์ชอบมาดักซุ่มอยู่<_>หอยเม่น<_>ปลาดาว<_>ม้าน้ำ<_>สามสหายกำลังคิดหาทางให้ปลอดภัยจากหมึกยักษ์<_>ทั้งสามก็ช่วยกันกระจายข่าวให้เตรียมหลบหมึกยักษ์ในวันพรุ่งนี้ให้ดี<_>อย่าออกมาให้เห็นเด็ดขาด<_>แต่ในขณะเดียวกัน<_>เจ้าแมวน้ำที่อาศัยอยู่เกาะเล็ก<_>ๆ<_>ตรงนั้น<_>ก็ออกมาหาอาหารกินเช่นกันในเช้าวันนั้น<_>มันชอบล่าเหยื่อและหากินตามผิวน้ำหรือน้ำตื้น<_>ๆ<_>จะเกิดอะไรขึ้นกับแมวน้ำติดตามได้ในรายการ<ชื่อรายการ>
หนูจี๊ดทำได้,ณ<_>โรงเรียนแสนสุข<_>ในบ่ายวันหนึ่งนักเรียนในห้องครูนกฮูกกำลังทดสอบการวิ่งของเด็ก<_>ๆ<_>ว่าจะวิ่งได้เร็วแค่ไหน<_>ครูฮูกได้กำหนดระยะการวิ่ง<_><ตัวเลข><_>รอบ<_>รอบละ<_><ตัวเลข><_>เมตร<_>นักเรียนต่างอบอุ่นร่างกายกันอย่างกระฉับกระเฉง<_>ยกเว้นหนูจี๊ดที่เอาแต่นอนนิ่ง<_>ๆ<_>เพราะหนูจี๊ดมีปัญหาในการวิ่ง<_>เพราะครั้งหนึ่งหนูจี๊ดเคยโดนต้นไม้ล้มทับจึงทำให้ไม่กล้าวิ่งอีกเลย<_>เสียงครูนกฮูกปล่อยตัวนักวิ่งออกจากจุดเริ่มต้น<_>แต่หนูจี๊ดยังนอนนิ่งไม่ยอมขยับตัว<_>ครูนกฮูกจึงเดินช้า<_>ๆ<_>เข้าไปหาหนูจี๊ด<_>และบอกว่าหนูจี๊ด<_>คุณครูนกฮูกจะพูดอะไรกับหนูจี๊ดและหนูจี๊ดจะก้าวออกจากกลัวได้หรือไม่ติดตามได้ในรายการ<ชื่อรายการ>
ลูกหมูสามตัว,ณ<_>บ้านแห่งหนึ่งกลางป่า<_>ยังมีครอบครัวหมูอาศัยอยู่ร่วมกันมี<_>แม่<_>และ<_>ลูกหมูสามตัว<_>พี่คนโตชื่อมิกกี้<_>พี่คนรองชื่อโจเซฟ<_>ส่วนน้องคนเล็กชื่อลีออน<_>พวกมันอาศัยอยู่ในบ้านอย่างมีความสุข<_>วันนี้เป็นวันที่มีฝนตกหนักตั้งแต่เช้าทำให้พวกมันไม่สามารถออกไปเล่นนอกบ้านได้<_>เพราะแม่บอกเสมอว่าถ้าออกไปตากฝนอาจทำให้ไม่สบาย<_>ถ้าฝนกตกหนักน้ำไหลแรงจะพัดพวกมันลอยตามน้ำไปได้<_>พวกมันจึงนั่งคุยกันแบบเหงา<_>ๆ<_>อยู่ในบ้านพอฝนเริ่มหยุดตก<_>ลีออนดีใจมากเพราะมันจะได้ออกไปเล่นนอกบ้านได้ซักที<_>มันจึงแอบหนีออกไปนอกบ้านโดยที่พี่ๆ<_>ไม่รู้จะเกิดอะไรขึ้นกับลีออนติดตามได้ในรายการ<ชื่อรายการ>
ลูกเสือที่ดุร้าย,ณ<_>ป่าแสนสุข<_>ช่วงเวลาตอนเย็นจะมีลูกสัตว์จำนวนมากมาวิ่งเล่นกันอย่างสนุกสนาน<_>แต่เมื่อถึงเวลากลับบ้านต่างก็จะแยกย้ายกันไป<_>ยกเว้นลูกเสือที่ยังอยากให้เพื่อนๆ<_>เล่นด้วยกันต่อ<_>ลูกเสือไม่พอใจจึงวิ่งไล่ตามเพื่อน<_>ๆ<_>ไป<_>ลูกเสือกระโจนไปดักหน้าเพื่อน<_>ๆ<_>และบอกว่ามันคือเสือที่ดุร้ายเพราะฉะนั้นลูกกวาง<_>ลูกกระต่าย<_>ลูกลิง<_>ลูกหมี<_>ลูกเม่น<_>ต้องกลับมาเล่นกับมันต่อ<_>เมื่อเพื่อน<_>ๆ<_>กลับมาหมดแล้วลูกเสือก็วิ่งไล่เล่นกับลูกสัตว์จนมืดค่ำ<_>บรรดาแม่<_>ๆ<_>ของลูกสัตว์ทั้งหลายต่างตามหากันทั่วจนมาเจอที่ลานกลางป่า<_>ลูกเสือจะทำอย่างไรต่อไปติดตามได้ในรายการ<ชื่อรายการ>
วันดี<_>วันหนึ่ง<_>แมวตัวหนึ่ง,ในวันที่อากาศแจ่มใสวันหนึ่ง<_>คุณพ่อและเด็กชายต้นรักกำลังเดินทางกลับบ้าน<_>ระหว่างทางที่คุณพ่อกำลังขับรถกลับบ้านอยู่นั้น<_>มีเสียงเด็กชายต้นรักบอกให้คุณพ่อจอดรถยนต์อย่างรวดเร็ว<_>แล้วเด็กชายก็เห็นอะไรบางอย่างอยู่ในพุ่มไม้คุณพ่อและเด็กชายจึงเดินไปดู<_>พบว่าเป็นแมวน้อยตัวเปียกปอนหนาวสั่น<_>เลอะเทอะ<_>นอนขดตัวอยู่ที่พุ่มไม้<_>เด็กชายจึงขอคุรพ่อนำกลับไปเลี้ยง<_>และตั้งชื่อให้ว่า<_>วันดี<_>ตั้งแต่วันนั้นเป็นต้นว่าวันดีก็เป็นสมาชิกใหม่ในบ้าน<_>เรื่องราวของเด็กชายและแมวน้อยวันดีจะเป็นอย่างไร
อยากขนฟูบ้างจัง,ก๊าบ<_>ก๊าบ<_>เสียงใสๆ<_>ของเป็ดน้อย<_>ร้องทักทายเป็ดน้อยตื่นแต่เช้าทุกวัน<_>เพื่อสำรวจดูว่าตัวเองขนฟูขึ้นบ้างหรือยัง<_>ถึงแม่เป็ดจะบอกว่าเป็ดน้อยไม่มีทางมีขนฟู<_>แต่เป็ดน้อยก็ยังไม่ละความพยายามที่จะไปตามหาเพื่อนขนฟู<_>เพื่อขอแบ่งขนมาให้เป็ดน้อยบ้าง<_>มันทักทายเพื่อนขนฟูตัวแรกว่า<_>สวัสดี<_>เธอเป็นใครเหรอ<_>ทำไมเธอขนฟูจัง<_>ขอแบ่งขนฟูของเธอมาติดที่ตัวฉันหน่อยได้ไหมจ๊ะ<_>ฉันอยากมีขนฟู<_>ๆ<_>เพื่อนขนฟูทักทายกลับ<_>สวัสดี<_>ฉันเป็นแมว<_>ฉันมีขนฟู<_>แต่ฉันคงแบ่งขนของฉันไปติดที่ตัวเธอไม่ได้หรอก<_>เสียใจด้วยนะ<_>เป็ดน้อยเสียใจ<_>แต่ก็เดินต่อไปเพื่อหาเพื่อนขนฟูตัวใหม่<_>ที่จะยอมให้ขนฟูกับเป็ดน้อยได้<_>เพื่อนขนฟูตัวต่อไปจะเป็นใครและเป็ดน้อยจะขนฟูได้หรือไม่ติดตามได้ในรายการ<ชื่อรายการ>
หอยทากน้อยสงสัย<_>จะกลับบ้านยังไงนะ,เช้าวันหนึ่ง<_>อากาศสดชื่น<_>ท้องฟ้าแจ่มใส<_>เจ้านกน้อยบินโฉบไปมาเริงร่าสบายใจ<_>ณ<_>สวนเล็ก<_>ๆ<_>มีต้นไม้น้อยใหญ่<_>ผลิดอกออกใบ<_>สดใส<_>เขียวขจี<_>บรรยากาศวันนี้ช่างดีจริง<_>ๆ<_>เดินไปทางไหนก็มีแต่ความสดชื่น<_>หอยทากน้อยเพลิดเพลินกับการเดินชมสวนจนลืมคำสัญญาที่บอกแม่หอยทากว่า<_>จะออกมาเดินยืดเส้นยืดสาย<_>ออกกำลังกายไม่นาน<_>แล้วจะรีบกลับ<_>หอยทากน้อยเดินมาเรื่อย<_>ๆ<_>จนรู้สึกว่าเดินมาไกลมากแล้ว<_>หอยทากน้อยรู้สึกกระวนกระวายใจ<_>จะกลับบ้านก็กลับไม่ถูก<_>ไม่รู้จะเดินไปทางไหนดี<_>มองไปข้างหน้าเห็นคุณป้าเต่ากำลังตัดแต่งต้นไม้อยู่<_>หอยทากน้อยจึงตัดสินใจเดินเข้าไปถามคุณป้าเต่า<_>หอยทากน้อยจะหาทางกลับบ้านได้หรือไม่ติดได้ในรายการ<ชื่อรายการ>
เจ้าหญิงแสนดี,นานมาแล้ว<_>ณ<_>เมืองใหญ่แห่งหนึ่ง<_>มีพระราชาผู้ใจดีปกครองบ้านเมืองอย่างสงบสุข<_>ประชาชนในเมืองก็อาศัยอยู่ร่วมกันอย่างมีความสุข<_>แต่พระราชากลับไม่ค่อยมีความสุขนัก<_>เพราะเจ้าชายยังไม่ได้แต่งงาน<_>อาจเป็นเพราะไม่มีเจ้าหญิงคนไหนอยากแต่งงานกับเจ้าชายที่มีแผลเป็นบนใบหน้า<_>เกิดจากเหตุการณ์ไฟไหม้ที่เจ้าชายฝ่าเปลวไฟเข้าไปช่วยชีวิตพระราชา<_>แต่เจ้าชายก็ยังใช้ชีวิตอย่างมีความสุข<_>วันหนึ่งเจ้าชายนึกอยากออกไปเที่ยวในหมู่บ้านเล็ก<_>ๆ<_>เพื่อดูความเป็นอยู่ของประชาชน<_>จึงได้ปลอมตัวเป็นชาวบ้านธรรมดาขี่ม้าเข้าไปในหมู่บ้าน<_>ระหว่างที่เจ้าชายกำลังชื่นชมกับธรรมชาติอันสวยงามของหมู่บ้านอยู่นั้น<_>ก็มีเหตุการณ์ไม่คาดคิดเกิดขึ้นแต่จะเป็นเรื่องอะไรติดตามได้ในรายการ<ชื่อรายการ>
